receiver_id,reference,type,big_grid_id,x_epsg5179,y_epsg5179,lat,lon,alt
9939,BLD01000000366RDT,building,0008_0004,1163857.5937456,1732475.9573529,35.5747744,129.3083058,171.5099950
9940,,terrain,0008_0004,1163865.0000000,1732475.0000000,35.5747645,129.3083873,171.4587425
9941,,terrain,0008_0004,1163875.0000000,1732475.0000000,35.5747629,129.3084976,171.4167882
9942,BLD010000003678GE,building,0008_0004,1163882.4377386,1732474.9926335,35.5747616,129.3085796,181.3399960
9943,BLD010000003678GE,building,0008_0004,1163882.4377386,1732474.9926335,35.5747616,129.3085796,172.6499940
9944,BLD01000000389BCH,building,0008_0004,1163884.3860073,1732472.8095869,35.5747416,129.3086007,183.5500030
9945,BLD01000000389BCH,building,0008_0004,1163884.3860073,1732472.8095869,35.5747416,129.3086007,172.4299930
9946,,terrain,0008_0004,1163885.0000000,1732475.0000000,35.5747612,129.3086079,171.5000000
9947,BLD01000000389BCH,building,0008_0004,1163889.2140243,1732479.6567700,35.5748025,129.3086553,183.5500030
9948,BLD01000000389BCH,building,0008_0004,1163889.2140243,1732479.6567700,35.5748025,129.3086553,172.4299930
